LAD24CD,LAD24NM,LAD24NMW,AREAEHECT,AREACHECT,AREAIHECT,AREALHECT,ObjectId
W06000012,Neath Port Talbot,Castell-nedd Port Talbot,45172.46,44227.4,102.8,44124.6,350
W06000013,Bridgend,Pen-y-bont ar Ogwr,25512.06,25078.51,0,25078.51,351
W06000014,Vale of Glamorgan,Bro Morgannwg,33980.9,33126.13,11.27,33114.86,352
W06000015,Cardiff,Caerdydd,14943.86,14230.41,138.93,14091.48,353
W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,42415.22,42415.22,0,42415.22,354
W06000018,Caerphilly,Caerffili,27738.65,27738.65,0,27738.65,355
W06000019,Blaenau Gwent,Blaenau Gwent,10872.8,10872.8,0,10872.8,356
W06000020,Torfaen,Torfaen,12624.11,12624.11,54.14,12569.97,357
W06000021,Monmouthshire,Sir Fynwy,88602.44,85031.32,118.37,84912.95,358
W06000022,Newport,Casnewydd,21752.69,19043.79,0,19043.79,359
W06000023,Powys,Powys,519545.66,519531.01,1463.3,518067.71,360
W06000024,Merthyr Tydfil,Merthyr Tudful,11195.61,11195.61,50.83,11144.78,361
